nombre_usuario,num_caracteres_nombre_usuario,foto_de_perfil,perfil_privado,seguidores,perfiles_seguidos,twitts_por_dia,dia_mayor_cantidad_twitts,comenta_publicaciones,cantidad_twitts,clase
san1dhya,8,si,no,99,295,1,jueves,si,871,real
Gaurang2801,11,si,no,38,213,1,lunes,si,681,real
VishalDayama,13,si,no,60602,944,7,lunes,si,23400,real
hubermanlab,12,si,no,950530,1037,5,domingo,si,6454,real
73abFe,7,no,si,2,271,,,,,real
SamRuiZam,10,si,no,482,303,4,sabado,si,15800,real
viricolcua,11,si,no,603,469,3,sabado,si,11300,real
MaluCM18,9,si,no,483,317,4,viernes,si,12900,real
artindetails,13,si,no,774300,51,10,martes,si,7688,FALSO
MemoRT22,9,si,no,252,263,1,jueves,si,668,real
valeriagoolz,13,si,no,623,477,2,martes,si,10100,real
danssrl,8,si,no,874,618,2,miercoles,si,39300,real
sonivasc,9,si,no,372,519,3,martes,si,2681,real
HelenRiveraJ,13,si,no,968,556,3,viernes,si,16900,real
whichximena,12,si,no,191,250,1,domingo,si,2502,real
DReptil666,11,si,no,697,523,3,lunes,si,18500,real
OrlandoRevil,13,si,no,1106,710,2,viernes,si,13200,real
LuisLeon_99,12,si,no,607,527,1,domingo,si,2385,real
JonaAguilar_10,15,si,no,598,412,1,sabado,si,4261,real
paulaarandaa_,14,si,no,349,262,3,jueves,si,1350,real
Blossomm222,12,si,no,223,272,1,viernes,si,3940,real
RocioDelCallejo,16,si,no,173,159,4,martes,si,1166,real
graceconnectus,14,si,no,1175,1212,7,miercoles,no,18000,FALSO
parrythehoot,12,si,no,915,540,12,domingo,no,188200,FALSO
cecigr136,10,si,no,123,145,4,viernes,si,2458,real
beristain_leo,14,si,no,28,95,1,jueves,si,452,real
Karimartz1,11,si,no,444,558,3,sabado,si,7923,real
itzeldbarranco,15,si,no,567,756,3,martes,si,9836,real
eirapf,7,si,no,453,296,3,lunes,si,30100,real
laura_prz_19,13,si,no,248,229,2,sabado,si,10800,real
fridacl_,9,si,no,217,167,1,sabado,si,639,real
HerlopSamantha,15,si,no,140,81,1,domingo,si,974,real
poobrediabla,13,si,no,476,265,2,jueves,si,13400,real
DianGA0502,11,si,no,83,165,2,lunes,si,1330,real
hyvsvp,7,si,no,127,573,3,lunes,si,10100,real
imfdov,7,si,no,26500,69,3,miercoles,si,7890,real
nxstypxet,10,si,no,157900,99,19,miercoles,si,128000,real
jhohanabraham,14,si,no,112,108,2,sabado,si,2019,real
DiegoRRuvalcaba,16,si,no,67,61,1,viernes,si,128,real
beto_santibanez,16,si,no,112,268,1,domingo,si,1383,real
Pecina1010,11,si,no,283,273,3,viernes,si,8842,real
__wicked_divine,16,si,no,125,214,2,martes,si,4780,real
RSantiCordero,14,si,no,204,279,2,viernes,si,5188,real
ElenaLoredo525,15,si,no,43,78,1,miercoles,si,481,real
chesteercheetos,16,si,no,86,106,2,jueves,si,1707,real
elCarlitos_Dann,16,si,no,57,69,1,miercoles,si,41,real
AlexiitoHolland,16,si,no,246,409,1,sabado,si,706,real
David80009392,14,si,no,229,160,1,miercoles,si,74,real
JoanHr7,8,si,no,197,169,1,sabado,si,778,real
Anghm_20,9,si,no,75,124,1,viernes,si,265,real
Makoto7u7,10,si,no,31,33,1,viernes,si,440,real
WonderRhythm,12,si,no,416,605,4,lunes,no,8027,FALSO
anneaviel,8,si,no,4608,234,13,martes,no,171900,FALSO
fridanoav,10,si,no,47,101,1,lunes,si,291,real
LuisOct18361340,16,si,no,34,121,1,miercoles,si,811,real
nadiacarrenov,14,si,no,27,45,1,viernes,si,512,real
MFacio01,9,si,no,355,586,1,lunes,si,713,real
fernanda0rtega,15,si,no,298,226,2,sabado,si,838,real
JuanRoblesJ,12,si,no,133,100,1,sabado,si,569,real
hector_melgar,14,si,no,227,208,3,miercoles,si,1733,real
Marifer_audelo,15,si,no,82,99,1,miercoles,si,779,real
sofia_florsz,13,si,no,129,325,2,martes,si,1218,real
AlgoCristina,13,si,no,215,226,1,jueves,si,205,real
nger_19,8,si,no,531,586,3,martes,si,11200,real
ashh_delb,10,si,no,41,78,1,martes,si,128,real
valeaguilar01_,15,si,no,29,198,1,viernes,si,40,real
DarienLozano15,15,si,no,84,74,1,sabado,si,840,real
Danielalv25,12,si,no,21,46,1,jueves,si,508,real
Miriam89386511,15,si,no,90,70,1,lunes,si,663,real
Alejand37185600,16,si,no,47,29,1,viernes,si,9,real
nadiajanetg,12,si,no,289,163,3,lunes,si,2586,real
Jorge_MR19,11,si,no,250,252,2,miercoles,si,2062,real
Ricardoarmi1,13,si,no,86,104,1,jueves,si,926,real
rios_pao23,11,si,no,73,175,1,martes,si,914,real
JheremyGallegos,16,si,no,544,701,5,miercoles,si,9940,real
abperlop_west,14,si,no,193,155,2,miercoles,si,832,real
aarons4m,9,si,no,147,182,2,jueves,si,1331,real
rikardo_armenta,16,si,no,48,0,0,jueves,si,1,real
jackie_meshi13,15,si,no,216,388,3,sabado,si,7121,real
ladulsrodriguez,16,si,no,865,378,5,domingo,si,19100,real
vchavzb,8,si,no,193,433,6,sabado,si,11600,real
ihanasol,9,si,no,102,143,2,miercoles,si,1869,real
ArizaFx,8,si,no,188,159,3,viernes,si,2679,real
Brenda37170170,15,si,no,30,82,1,jueves,si,275,real
Camila_Frag,12,si,no,170,757,1,viernes,si,438,real
DrCubo,7,si,no,266,1982,6,jueves,si,3860,real
LissValencia7,14,si,no,169,262,2,lunes,si,2137,real
AylinGzS2,10,si,no,70,77,1,viernes,si,75,real
Axelrn,7,si,no,319,466,5,viernes,si,6297,real
rockabyegurl,13,si,no,276,186,5,jueves,si,6548,real
babyymanyy,11,si,no,2570,1229,7,martes,si,8628,real
alfredosastree,15,si,no,40100,2893,8,jueves,si,20900,real
del,4,si,no,35000,771,7,lunes,si,15100,real
_la_rata_,10,si,no,53700,2122,15,lunes,si,66400,real
imfdov,7,si,no,26500,69,3,miercoles,si,7889,real
linney_mtzc,12,si,no,49100,85,6,sabado,si,7663,real
lauramoliina17,15,si,no,214600,1496,5,viernes,si,8060,real
carpesanoo,11,si,no,183000,834,21,lunes,si,21800,real
escritosheart,14,si,no,1465000,5,2,miercoles,si,778,FALSO
bv_malu,8,si,no,112,105,3,viernes,si,2233,real
eemo_Rarity,12,si,no,229,271,6,jueves,si,10200,real
melinasalazr,13,si,no,522,338,3,jueves,si,2272,real
CharbelCalderon,16,si,no,278,229,12,viernes,si,26900,real
rulo102000,11,si,no,135,1092,3,miercoles,si,5998,real
pedrogcarvajal,15,si,no,2,12,1,martes,si,539,real
ExtintorMr,11,si,no,63,1201,1,domingo,si,284,real
elkaiserdelam,14,si,no,28,134,1,miercoles,si,115,real
totijordi79,12,si,no,33,286,1,miercoles,si,820,real
bruakias,9,si,no,7,59,0,jueves,si,11,real
fondocx,8,si,no,148,237,1,miercoles,si,357,real
___sauron,10,si,no,631,407,10,domingo,si,19000,real
lunes1109,10,si,no,37,52,1,viernes,si,66,real
Ponidelaprader4,15,si,no,111,264,1,viernes,si,416,real
Karen_1Danieela,16,si,no,468,281,9,jueves,si,21300,real
rdanixla,9,si,no,1030,685,13,domingo,si,16700,real
gomiland_,10,si,no,677,591,8,martes,si,17400,real
CB97says,9,si,no,716,744,6,sabado,si,5452,real
spiritualcatalg,15,si,no,7638,6745,23,sabado,no,232000,FALSO
SML2020,7,si,no,598,550,1,lunes,no,5778,FALSO
NadiaSantiba_ez,16,si,no,517,727,6,domingo,si,9365,real
godith20,9,si,no,143,93,1,viernes,si,671,real
ailynmhc,9,si,no,374,142,4,martes,si,1242,real
barbie_mady,12,si,no,177,147,3,viernes,si,1678,real
sabimiich,10,si,no,52,97,1,viernes,si,149,real
Annabanane2402,15,si,no,17,29,1,miercoles,si,21,real
FridaRamC,10,si,no,34,56,1,lunes,si,143,real
Diana_rulu11,13,si,no,95,103,1,lunes,si,358,real
monserrat55_,13,si,no,75,82,1,lunes,si,246,real
CindyconC_,11,si,no,792,378,6,viernes,si,7411,real
karencleyva6,13,si,no,1054,2219,7,jueves,si,13500,real
awomanofwater,14,si,no,677,655,9,viernes,si,7927,real
jemappellefille,16,si,no,231,403,4,domingo,si,2679,real
miriamhdz98,12,si,no,235,231,6,miercoles,si,3730,real
martinsanz01,13,si,no,330,292,2,viernes,si,874,real
rico_guerito,13,si,no,366,272,2,viernes,si,872,real
renee_bailon,13,si,no,690,333,7,sabado,si,3824,real
scarletsalazarj,16,si,no,565,457,5,viernes,si,7389,real
HiRudyVelasco,14,si,no,8,28,0,sabado,si,7,real
kavqzal,8,si,no,274,450,10,domingo,si,5705,real
QuevedoA26,11,si,no,8,65,1,miercoles,si,20,real
isabell_alv3,13,si,no,365,493,8,sabado,si,6955,real
94keyany,9,si,si,7,73,,miercoles,,,real
beatchecks,11,si,si,3,649,,,,,real
TyWKruger,10,no,si,2,61,,,,,real
LinksRossouw,13,si,no,463,226,6,viernes,si,6148,real
joshuambrady,13,si,no,83,414,1,sabado,si,876,real
samkoovz,9,si,no,112,296,3,viernes,si,1407,real
Akshay__1509,13,si,no,1702,1147,23,miercoles,si,35700,real
tehillahmaharaj,16,si,no,1682,653,11,viernes,si,14700,real
kornelius12059,15,si,no,26,360,1,miercoles,si,70,real
MandySa03558180,16,si,no,0,6,0,,si,0,real
amol_dhamale4,14,si,si,2,39,,,,,real
Gbioinf_gene,13,no,si,0,213,,,,,real
pablobonete,12,si,no,527,470,7,viernes,si,10300,real
a05616132,10,no,si,0,23,,,,,real
Harshit90628293,16,si,no,5,45,1,jueves,si,77,real
Bstbookpromos,13,si,no,1623,1199,8,jueves,no,128800,FALSO
BestsellerSvcs,14,si,no,2056,0,1,viernes,no,159700,FALSO
Pastor10Denise,14,si,no,17,149,6,sabado,no,9365,FALSO
anahibravoab,12,si,no,5,56,1,viernes,no,671,FALSO
CondeJannet,11,si,no,1,11,6,sabado,no,1242,FALSO
OsccarC__,9,si,no,4,86,1,domingo,no,1678,FALSO
LuzDelgadilloC1,15,si,no,29,37,1,miercoles,no,149,FALSO
JuniorM77528556,15,si,no,860,1102,1,sabado,no,21,FALSO
SandyMedna_,11,si,no,147,281,1,miercoles,no,143,FALSO
