nombre,cantidad_caracteres_nombre,tiene_foto_perfil,cantidad_seguidores,cantidad_seguidos,promedio_publicaciones,perfil_privado,dia_mas_publica,comenta_publicaciones,clase
Catalin31937081,15,Sí,4,11,0.007957559681697613,No,Sábado,Sí,Fake
JadeCrespo8,11,Sí,14,143,8.125,No,Martes,Sí,Fake
V12Ara,6,Sí,1,1,0.9011627906976745,No,Martes,Sí,Fake
BriannaLun_,11,Sí,1,32,4.4714285714285715,No,Martes,Sí,Fake
IsoldaMancillas,15,Sí,34,84,4.621212121212121,No,Martes,Sí,Fake
bp252475057g,12,No,0,0,0.0,No,Ninguno,No,Fake
JavierE16716229,15,No,3,128,0.0,No,Ninguno,No,Fake
BetsabeAguirre_,15,Sí,0,29,4.5285714285714285,No,Martes,Sí,Fake
x_h4a8qbmai,11,Sí,191,1813,0.007102272727272727,No,Ninguno,Sí,Fake
MarthaPablo8,12,Sí,10,29,1.4749034749034748,No,Miércoles,Sí,Fake
AdejPeer,8,Sí,1,76,7.038461538461538,No,Miércoles,Sí,Fake
PlaciddoG__,11,Sí,5,80,4.468468468468468,No,Miércoles,Sí,Fake
Flooky124,9,Sí,49680,15,2.0716723549488054,No,Martes,Sí,Fake
Ka25402540,10,No,0,29,0.6666666666666666,No,Miércoles,Sí,Fake
Pastor10Denise,14,Sí,17,149,6.975,No,Martes,Sí,Fake
Camila76800538,14,Sí,5,11,0.038903625110521665,No,Sábado,Sí,Fake
AngelesFra_,11,Sí,1,28,7.015873015873016,No,Ninguno,Sí,Fake
TNrCC4VoQpOGSWy,15,Sí,3,121,0.01549053356282272,Sí,Ninguno,Sí,Fake
pim120430198853,15,Sí,0,20,0,No,Miércoles,Sí,Fake
anahibravoab,12,Sí,5,56,6.75,No,Martes,Sí,Fake
CondeJannet,11,Sí,1,11,4.757575757575758,No,Lunes,Sí,Fake
OsccarC__,9,Sí,4,86,5.2342342342342345,No,Lunes,Sí,Fake
LuzDelgadilloC1,15,Sí,29,37,3.6944444444444446,No,Martes,Sí,Fake
JuniorM77528556,15,Sí,860,1102,23.273214285714285,No,Domingo,Sí,Fake
SandyMedna_,11,Sí,147,281,5.140625,No,Jueves,Sí,Fake
Koy793402712469,15,Sí,1,83,3.727272727272727,No,Miércoles,Sí,Fake
LorenaMart__,12,Sí,1,20,2.5338345864661656,No,Martes,Sí,Fake
HugoDom_,8,Sí,0,46,1.5714285714285714,No,Martes,Sí,Fake
OlgaGuadarrama7,15,Sí,0,3,0.11627906976744186,No,Domingo,Sí,Fake
MarielaTenorioG,15,Sí,125,332,2.914285714285714,No,Miércoles,Sí,Fake
CataOsorio02,12,Sí,40,52,21.377245508982035,No,Miércoles,Sí,Fake
raquell_marin,13,Sí,31,17,1.9747474747474747,No,Sábado,Sí,Fake
PaolaRiv_as,11,Sí,2,108,7.920863309352518,No,Lunes,Sí,Fake
RitaZar_,8,Sí,157,271,4.3125,No,Lunes,Sí,Fake
CTheaa54152,11,Sí,3,176,7.583333333333333,No,Ninguno,Sí,Fake
wuthiwthnsceri1,15,Sí,111,343,1.5238095238095237,No,Jueves,Sí,Fake
mariana81588744,15,Sí,53,67,1.7179487179487178,No,Martes,Sí,Fake
AnaBelenDeJesu3,15,Sí,45,72,4.0625,No,Viernes,Sí,Fake
Letigon69,9,Sí,15,7,2.4193548387096775,No,Miércoles,Sí,Fake
ThanaphonK42011,15,Sí,5,64,93.85714285714286,No,Miércoles,Sí,Fake
DaroLupita,10,Sí,30,16,2.700389105058366,No,Viernes,Sí,Fake
RoxanaC__,9,Sí,15,76,4.953125,No,Domingo,Sí,Fake
RebecaG__,9,Sí,112,200,4.984375,No,Lunes,Sí,Fake
ComSom978193451,15,Sí,3,172,26.4,No,Lunes,Sí,Fake
GunGuntak,9,Sí,33,1429,0.6745117676514772,No,Sábado,Sí,Fake
MarioCal_deron_,15,Sí,6,24,2.7142857142857144,No,Martes,Sí,Fake
neiym_mank78056,15,Sí,4,121,87.0,No,Jueves,Sí,Fake
MagaliGarcia137,15,Sí,9,9,3.0555555555555554,No,Sábado,Sí,Fake
Liliana_Orte_,13,Sí,0,84,0.7419354838709677,No,Miércoles,Sí,Fake
AnaLuCamach,11,Sí,670,523,3.4532775453277544,No,Lunes,Sí,Fake
nickawayg2531,13,Sí,0,62,29.125,No,Miércoles,Sí,Fake
SilvinaMora10,13,Sí,39,208,7.1,No,Miércoles,Sí,Fake
SHerendia,9,Sí,491,1011,3.917514124293785,No,Sábado,Sí,Fake
dackcake,8,Sí,1,25,0.5688622754491018,No,Miércoles,Sí,Fake
mngkhl_dxk48275,15,Sí,7,99,4.076923076923077,No,Lunes,Sí,Fake
Agustin47527800,15,No,54,133,1.1195219123505975,No,Lunes,Sí,Fake
ErickOs__,9,Sí,1,33,0.9758064516129032,No,Martes,Sí,Fake
Lourdes05675148,15,Sí,93,94,3.87636761487965,No,Lunes,Sí,Fake
Ricardo35210361,15,Sí,1,1,0.20502092050209206,No,Jueves,Sí,Fake
Ochoa98208Ochoa,15,Sí,2,11,0.26666666666666666,No,Ninguno,Sí,Fake
Violeta36310431,15,Sí,114,149,0.3181818181818182,No,Martes,Sí,Fake
YazminTlapa15,13,Sí,0,4,0.008733624454148471,No,Domingo,Sí,Fake
KarenCa21787865,15,Sí,3,11,6.775,No,Martes,Sí,Fake
OfeliaGlvez,11,Sí,8836,1376,4.328542094455853,No,Miércoles,Sí,Fake
rociosilvagon1,14,Sí,152,311,25.312,No,Martes,Sí,Fake
Roosa_io__,10,Sí,4,84,5.468468468468468,No,Sábado,Sí,Fake
bp252445922,11,Sí,0,3,3.053691275167785,No,Sábado,Sí,Fake
rakenena1,9,Sí,96,77,0.9576271186440678,No,Martes,Sí,Fake
HigaredaLulu,12,Sí,6314,2413,26.2325,No,Miércoles,Sí,Fake
YesicaVillarea_,15,Sí,54,82,3.591549295774648,No,Martes,Sí,Fake
JoelMen__,9,Sí,2,35,2.0676691729323307,No,Martes,Sí,Fake
PERLAZAIRA,10,Sí,228,282,5.657792207792208,No,Martes,Sí,Fake
HortenciaSala_,14,Sí,8,56,2.43609022556391,No,Martes,Sí,Fake
AdriancConde,12,Sí,172,328,4.841206030150754,No,Miércoles,Sí,Fake
cFQD6xVuOIDx0IE,15,Sí,0,9,0.1323529411764706,No,Miércoles,Sí,Fake
marcelam2209,12,Sí,359,235,2.241675617615467,No,Miércoles,Sí,Real
rzapatistadf,12,Sí,6095,11,0.3488565488565489,No,Martes,Sí,Real
Karmensan12,11,Sí,4576,829,1.5800604229607251,No,Viernes,Sí,Real
RaulOrvananos,13,Sí,1050113,339,12.907139821504462,No,Miércoles,Sí,Real
rafapuente_espn,15,Sí,569292,92,0.7692307692307693,No,Martes,Sí,Real
Santyabad7,10,Sí,85,370,1.0093109869646182,No,Sábado,Sí,Real
ritacoral22,11,Sí,128,162,2.992957746478873,No,Jueves,Sí,Real
LadyD24497010,13,Sí,2020,1708,90.33653846153847,No,Ninguno,Sí,Real
nataliaruiizv,13,Sí,319,340,4.246812386156648,No,Martes,Sí,Real
puig_ricardo,12,Sí,104841,759,9.642750373692078,No,Lunes,Sí,Real
samespinosao,12,Sí,197149,300,7.421340629274966,No,Jueves,Sí,Real
PePeSoyYo13,11,Sí,1857,1860,260.68831168831167,No,Martes,Sí,Real
msiendomeri,11,Sí,180,217,3.8530020703933747,No,Ninguno,Sí,Real
MissRavenPliss,14,Sí,5041,1187,11.613725896744764,No,Martes,Sí,Real
A_EsparzaOteo,13,Sí,48640,450,6.689909051537462,No,Miércoles,Sí,Real
antizkt,7,Sí,130,162,1.5523541813070978,No,Lunes,Sí,Real
YoseeGJ,7,Sí,310,209,1.6645841468176494,No,Miércoles,Sí,Real
CD_Cedoz,8,Sí,1426,210,0.9406034687574246,No,Ninguno,Sí,Real
alfredodelmazo,14,Sí,1105123,314,2.3064325177584846,No,Sábado,Sí,Real
erik_lira,9,Sí,34004,60,0.9640376984126984,No,Ninguno,Sí,Real
karlaadoor,10,Sí,131,107,1.1757425742574257,No,Ninguno,Sí,Real
Ruthv___,8,Sí,43,46,4.440397350993377,Sí,Sábado,Sí,Real
TitoVilla1982,13,Sí,263354,521,2.4351761252446185,No,Ninguno,Sí,Real
cordova_sports,14,Sí,86264,1556,17.5213369770864,No,Sábado,Sí,Real
msiendomeri,11,Sí,180,217,3.8530020703933747,No,Miércoles,Sí,Real
Bere_niceray,12,Sí,11105,292,1.119485294117647,No,Viernes,Sí,Real
rafapuente_espn,15,Sí,569290,92,0.7692307692307693,No,Ninguno,Sí,Real
LlanoEly,8,Sí,8770,8650,44.33374536464771,No,Ninguno,Sí,Real
koyel10,7,Sí,29368,2444,15.660706773243584,No,Ninguno,Sí,Real
LlanoEly,8,Sí,8770,8650,44.33374536464771,No,Miércoles,Sí,Real
Jennifeermz,11,Sí,34,85,0.34581105169340465,No,Viernes,Sí,Real
daemoon_targary,15,Sí,1172,1182,39.09615384615385,No,Miércoles,Sí,Real
la_reinota_,11,Sí,71098,573,5.112558139534884,No,Miércoles,Sí,Real
pametorres1998,14,Sí,240,537,1.6814953271028037,No,Miércoles,Sí,Real
AG_26,5,Sí,19617,115,0.06018518518518518,No,Ninguno,Sí,Real
ulisesurrutiac,14,Sí,280,1015,0.6639015252876639,No,Domingo,Sí,Real
Caminoalandar2,14,Sí,2131,113,3.8146067415730336,No,Jueves,Sí,Real
yarelinceballos,15,Sí,64,91,0.565359477124183,No,Sábado,Sí,Real
Anibaljrlv00,12,Sí,64,300,2.1161290322580646,No,Miércoles,Sí,Real
futpicante,10,Sí,2074966,175,53.50822368421053,No,Ninguno,Sí,Real
duvikah,7,Sí,1694,1587,10.730066122131467,No,Miércoles,Sí,Real
cordova_sports,14,Sí,86264,1556,17.5213369770864,No,Ninguno,Sí,Real
msiendomeri,11,Sí,181,217,3.813664596273292,No,Jueves,Sí,Real
Ryan2000LDG,11,Sí,7715,7994,21.04869565217391,No,Jueves,Sí,Real
Anghm_20,8,Sí,75,124,0.5611814345991561,No,Miércoles,Sí,Real
_pinchechicharo,15,Sí,49425,325,39.46840659340659,No,Martes,Sí,Real
puig_ricardo,12,Sí,104841,759,9.642750373692078,No,Ninguno,Sí,Real
joserra_espn,12,Sí,3725107,296,5.8889814621953755,No,Ninguno,Sí,Real
daemoon_targary,15,Sí,1172,1182,39.09615384615385,No,Ninguno,Sí,Real
Faitelson_ESPN,14,Sí,4080537,1715,16.69064901793339,No,Miércoles,Sí,Real
kainatodes,10,Sí,562,460,6.167481348083355,No,Miércoles,Sí,Real
Mariaaaaan_cs,13,Sí,89,82,3.0158227848101267,No,Ninguno,Sí,Real
emilol880,9,Sí,72,72,3.631818181818182,No,Miércoles,Sí,Real
Alejand04527411,15,Sí,1,21,0.0021551724137931034,Sí,Ninguno,Sí,Real
alexita_ret,11,Sí,113,76,1.590625,No,Miércoles,Sí,Real
echemariana,11,Sí,155,298,0.695898161244696,No,Viernes,Sí,Real
Littt_so,8,Sí,17,25,0.06796116504854369,Sí,Ninguno,Sí,Real
CD_Cedoz,8,Sí,1426,210,0.9406034687574246,No,Lunes,Sí,Real
AndreGiovanniB,14,Sí,898,596,4.017338217338217,No,Martes,Sí,Real
jonatansinh21,13,Sí,3395,768,11.90427314620863,No,Miércoles,Sí,Real
rodriguezcheri,14,Sí,1662,5006,35.32217247420674,No,Ninguno,Sí,Real
_pinchechicharo,15,Sí,49425,325,39.46840659340659,No,Ninguno,Sí,Real
MarianSsanchez_,15,Sí,35,187,0.22563025210084034,No,Ninguno,Sí,Real
alonsoocruzz,12,Sí,73,154,1.2682563338301043,No,Ninguno,Sí,Real
Jhov_rb,7,Sí,113,163,0.8378923121220847,Sí,Domingo,Sí,Real
JesusBorroel,12,Sí,260,311,3.8623595505617976,No,Domingo,Sí,Real
Armand_Mel91,12,Sí,23192,767,1.445583780004661,No,Ninguno,Sí,Real
PePeSoyYo13,11,Sí,1857,1860,260.68831168831167,No,Martes,Sí,Real
Alonso_osoo,11,Sí,33,408,1.0515567458988953,No,Domingo,Sí,Real
JAntonioDomingz,15,Sí,27122,1466,1.3847241867043847,No,Sábado,Sí,Real
MissRavenPliss,14,Sí,5041,1187,11.613725896744764,No,Martes,Sí,Real
Anghm_20,8,Sí,75,124,0.5611814345991561,No,Ninguno,Sí,Real
JNT3D,5,Sí,10302,588,11.596631397106457,No,Miércoles,Sí,Real
sofiaaa_diazzz,14,Sí,1402,332,1.1182495344506518,No,Sábado,Sí,Real
karlaadoor,10,Sí,131,107,1.1757425742574257,No,Jueves,Sí,Real
