clase,make,fuel-type,aspiration,length,width,height,highway-mpg
1,1,audi,gas,std,176.6,66.2,54.3,25
2,1,audi,gas,std,176.6,66.4,54.3,28
3,0,audi,gas,std,177.3,66.3,53.1,22
4,2,audi,gas,std,192.7,71.4,55.7,30
5,1,mazda,gas,std,169.0,65.7,49.6,31
6,1,mazda,gas,std,177.8,66.5,53.7,38
7,2,mazda,gas,std,177.8,66.5,55.5,38
8,2,peugot,diesel,rwd,186.7,68.4,56.7,24
9,2,peugot,diesel,turbo,186.7,68.4,56.7,28
10,0,volvo,gas,turbo,188.8,67.2,57.5,28
11,1,volvo,gas,std,188.8,68.9,55.5,22
12,0,volvo,gas,turbo,188.8,68.8,55.5,25	